Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_log,Attrition_Encoded,Overtime_Encoded,bt,IncomeBin,Attrition_Risk,AtRiskFlag
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,300,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,No,14,3,4,0,7,1,2,6,2,1,5,7.629975707027789,1,0,1,"(990.01, 4174.0]",0.05590448341153123,0
45,No,Non-Travel,1052,Sales,6,3,Medical,302,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,No,12,3,4,0,23,2,3,19,7,12,8,9.089979015305,0,0,0,"(7339.0, 10504.0]",0.014131308084011071,0
54,No,Travel_Rarely,1147,Sales,3,3,Marketing,303,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,No,14,3,4,1,16,4,3,6,2,0,5,8.689632748355741,0,0,1,"(4174.0, 7339.0]",0.0028488957378227974,0
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,304,4,Male,62,3,2,Laboratory Technician,2,Single,5914,9945,8,No,16,3,4,0,16,3,4,13,11,3,7,8.685246776412487,0,0,1,"(4174.0, 7339.0]",0.015590784410305512,0
33,No,Travel_Rarely,147,Research & Development,4,4,Medical,305,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,No,21,4,4,0,7,3,3,3,2,1,1,7.872073979866873,0,0,1,"(990.01, 4174.0]",0.16933646065202632,0
37,No,Travel_Frequently,663,Research & Development,11,3,Other,306,2,Male,47,3,3,Research Director,4,Divorced,12185,10056,1,Yes,14,3,3,3,10,1,3,10,8,0,7,9.40804303080844,0,1,2,"(10504.0, 13669.0]",0.03332251320022254,0
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,307,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,0,No,12,3,3,2,17,6,2,16,10,5,13,9.26955223160803,0,0,1,"(10504.0, 13669.0]",0.005787088046665549,0
31,No,Non-Travel,979,Research & Development,1,4,Medical,308,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,0,No,12,3,4,1,6,2,3,5,4,1,4,8.377011160816375,0,0,0,"(4174.0, 7339.0]",0.010052543917293245,0
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,309,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,No,17,3,1,1,7,6,3,1,0,0,0,7.686162303492906,0,0,1,"(990.01, 4174.0]",0.032262729996154815,0
37,No,Travel_Frequently,319,Sales,4,4,Marketing,311,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,3,1,13,2,3,9,8,5,8,7.935229539816907,0,0,2,"(990.01, 4174.0]",0.15961388995763215,0
29,No,Travel_Frequently,1413,Sales,1,1,Medical,312,2,Female,42,3,3,Sales Executive,4,Married,7918,6599,1,No,14,3,4,1,11,5,3,11,10,4,1,8.977020214210413,0,0,2,"(7339.0, 10504.0]",0.018952514078858486,0
35,No,Travel_Frequently,944,Sales,1,3,Marketing,314,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,No,14,3,1,0,10,3,4,10,7,0,8,9.081369990679223,0,0,2,"(7339.0, 10504.0]",0.028927685098279785,0
29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,315,3,Male,86,2,1,Research Scientist,4,Single,2389,14961,1,Yes,13,3,3,0,4,3,2,4,3,0,1,7.779048644925556,1,1,1,"(990.01, 4174.0]",0.5704271729872895,0
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,316,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3300,7,No,15,3,2,0,6,3,2,2,2,2,2,8.074960359115858,0,0,1,"(990.01, 4174.0]",0.13095207438941533,0
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,319,3,Male,58,3,5,Manager,4,Married,19232,4933,1,No,11,3,4,0,22,3,3,22,17,11,15,9.864382832655368,0,0,1,"(16834.0, 19999.0]",0.0043750177857299144,0
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,321,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,No,17,3,4,0,7,2,2,2,2,2,2,7.7266536648476425,0,0,1,"(990.01, 4174.0]",0.08164445450161294,0
50,No,Travel_Rarely,854,Sales,1,4,Medical,323,4,Female,68,3,5,Manager,4,Divorced,19517,24118,3,No,11,3,3,1,32,3,2,7,0,0,6,9.879092395701406,0,0,1,"(16834.0, 19999.0]",0.0026202410255514856,0
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,325,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Yes,13,3,3,1,8,2,1,5,4,0,4,7.798523053625206,1,1,1,"(990.01, 4174.0]",0.5130615116093281,0
43,No,Travel_Rarely,1034,Sales,16,3,Marketing,327,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Yes,22,4,3,1,22,3,3,17,13,1,9,9.68439827154996,0,1,1,"(13669.0, 16834.0]",0.03265137203755621,0
33,Yes,Travel_Rarely,465,Research & Development,2,2,Life Sciences,328,1,Female,39,3,1,Laboratory Technician,1,Married,2707,21509,7,No,20,4,1,0,13,3,4,9,7,1,7,7.903965634032166,1,0,1,"(990.01, 4174.0]",0.25728214723055565,0
52,No,Non-Travel,771,Sales,2,4,Life Sciences,329,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Yes,18,3,4,0,33,2,4,33,7,15,12,9.855819258834627,0,1,0,"(16834.0, 19999.0]",0.16811781995013633,0
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,330,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,2,No,11,3,1,1,6,5,3,4,3,1,2,8.276903481267057,0,0,1,"(990.01, 4174.0]",0.04861072857654012,0
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,331,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Yes,14,3,4,0,4,2,1,3,2,1,2,8.224431573221159,1,1,1,"(990.01, 4174.0]",0.374224486159193,0
39,No,Travel_Rarely,1431,Research & Development,1,4,Medical,332,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,No,14,3,3,3,7,1,3,3,2,1,2,7.711101251840158,0,0,1,"(990.01, 4174.0]",0.03199667512873776,0
32,No,Non-Travel,976,Sales,26,4,Marketing,333,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,No,18,3,1,0,4,2,3,3,2,2,2,8.404248432400102,0,0,0,"(4174.0, 7339.0]",0.06505612746804619,0
41,No,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,334,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,No,16,3,1,2,17,2,2,1,0,0,0,8.030409562130485,0,0,1,"(990.01, 4174.0]",0.0418550108025479,0
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,335,1,Male,62,3,2,Research Scientist,4,Divorced,3319,24447,1,No,17,3,1,2,9,3,3,9,8,4,7,8.107720061910534,0,0,1,"(990.01, 4174.0]",0.02336059923569884,0
45,No,Travel_Rarely,252,Research & Development,1,3,Other,336,3,Male,70,4,5,Manager,4,Married,19202,15970,0,No,11,3,3,1,25,2,3,24,0,1,7,9.862821795810113,0,0,1,"(16834.0, 19999.0]",0.002108601399446241,0
31,No,Travel_Frequently,1327,Research & Development,3,4,Medical,337,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,No,12,3,1,1,9,3,3,2,2,2,2,9.523397750759193,0,0,2,"(13669.0, 16834.0]",0.2014416700257366,0
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,338,3,Female,63,2,1,Research Scientist,4,Married,2911,14776,1,No,13,3,3,1,2,2,2,2,2,0,2,7.976595409316577,0,0,1,"(990.01, 4174.0]",0.03792595104565401,0
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,339,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,No,13,3,2,1,13,3,3,11,9,5,9,8.692490133273228,0,0,1,"(4174.0, 7339.0]",0.052104335384757915,0
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,340,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,No,14,3,1,1,17,2,2,3,1,0,2,8.27410200229233,0,0,1,"(990.01, 4174.0]",0.033137406732938066,0
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,341,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,No,17,3,4,1,9,1,3,3,2,0,2,8.769507120030227,0,0,2,"(4174.0, 7339.0]",0.03393440039224243,0
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,342,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,2,17,5,3,1,0,0,0,9.21522840604896,1,0,2,"(7339.0, 10504.0]",0.0715848186347803,0
39,No,Travel_Frequently,505,Research & Development,2,4,Technical Degree,343,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,0,No,25,4,4,0,20,1,3,19,6,11,8,9.30008966411979,0,0,2,"(10504.0, 13669.0]",0.038316436058428986,0
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,346,3,Male,60,3,1,Research Scientist,4,Single,2340,22673,1,No,19,3,1,0,6,1,3,6,5,1,5,7.75833346749091,0,0,1,"(990.01, 4174.0]",0.11006044788772776,0
42,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,347,4,Female,82,4,2,Research Scientist,1,Single,6545,23016,3,Yes,13,3,3,0,10,1,3,3,2,0,2,8.786609455061125,0,1,1,"(4174.0, 7339.0]",0.0960652032597175,0
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,349,4,Male,45,3,2,Sales Executive,4,Divorced,6931,10732,2,No,14,3,4,1,10,2,3,3,2,0,2,8.843903650835497,0,0,1,"(4174.0, 7339.0]",0.01148147626592763,0
25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,350,1,Female,62,3,2,Manufacturing Director,3,Married,4898,7505,0,No,12,3,4,2,5,3,3,4,2,1,2,8.496786381638575,0,0,1,"(4174.0, 7339.0]",0.01798343420607558,0
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,351,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Yes,11,3,3,1,10,4,3,9,6,7,8,7.860956364876389,0,1,1,"(990.01, 4174.0]",0.1452911514319983,0
40,No,Travel_Rarely,1416,Research & Development,2,2,Medical,352,1,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,No,19,3,4,1,22,5,3,21,7,3,9,9.874933745118067,0,0,1,"(16834.0, 19999.0]",0.0016083326112014875,0
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,353,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,No,11,3,2,0,1,0,2,1,0,0,0,7.909856667269403,0,0,1,"(990.01, 4174.0]",0.05095745490135842,0
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,355,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,No,11,3,2,0,6,2,4,5,4,1,4,8.15478757276852,1,0,2,"(990.01, 4174.0]",0.5511092495106034,0
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,359,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,No,20,4,3,0,5,3,1,5,1,0,3,7.9355873855892,0,0,2,"(990.01, 4174.0]",0.24566754257972734,0
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,361,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,1,13,0,3,8,7,7,5,8.565983355585669,0,0,0,"(4174.0, 7339.0]",0.007495633942963014,0
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,362,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,0,9,5,3,6,2,0,4,7.685703061234547,0,0,1,"(990.01, 4174.0]",0.19851499465848374,0
46,No,Travel_Rarely,488,Sales,2,3,Technical Degree,363,3,Female,75,1,4,Manager,2,Married,16872,14977,3,Yes,12,3,2,1,28,2,2,7,7,7,7,9.733469990198337,0,1,1,"(16834.0, 19999.0]",0.4001312288533981,0
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,364,1,Male,79,3,1,Laboratory Technician,3,Single,3485,14935,2,No,11,3,3,0,5,5,1,0,0,0,0,8.156510226079966,1,0,1,"(990.01, 4174.0]",0.3111379302347507,0
29,No,Travel_Rarely,1210,Sales,2,3,Medical,366,1,Male,78,2,2,Sales Executive,2,Married,6644,3687,2,No,19,3,2,2,10,2,3,0,0,0,0,8.801619971147346,0,0,1,"(4174.0, 7339.0]",0.11564412799780842,0
31,No,Travel_Rarely,1463,Research & Development,23,3,Medical,367,2,Male,64,2,2,Healthcare Representative,4,Married,5582,14408,0,No,21,4,2,1,10,2,3,9,0,7,8,8.62748154531036,0,0,1,"(4174.0, 7339.0]",0.12290191253139968,0
25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,No,12,3,4,2,6,2,3,6,3,1,5,8.294299608857235,0,0,0,"(990.01, 4174.0]",0.011535076355701987,0
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,372,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0,Yes,14,3,2,0,21,2,3,20,7,4,10,9.510222717509283,0,1,1,"(10504.0, 13669.0]",0.0422353138928165,0
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,373,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,No,11,3,3,1,16,4,3,15,13,10,11,8.074337694089515,0,0,1,"(990.01, 4174.0]",0.004471778979038936,0
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,374,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,0,37,2,3,36,10,4,13,9.854612384753992,0,1,1,"(16834.0, 19999.0]",0.01142497626837706,0
47,Yes,Non-Travel,666,Research & Development,29,4,Life Sciences,376,1,Male,88,3,3,Manager,2,Married,11849,10268,1,Yes,12,3,4,1,10,2,2,10,7,9,9,9.380083146563278,1,1,0,"(10504.0, 13669.0]",0.219000261321294,0
28,No,Travel_Rarely,1158,Research & Development,9,3,Medical,377,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1,No,23,4,4,1,5,3,2,5,2,0,4,7.635786861395585,0,0,1,"(990.01, 4174.0]",0.016742365429664494,0
37,No,Travel_Rarely,228,Sales,6,4,Medical,378,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,No,14,3,2,1,7,5,4,5,4,0,1,8.780018887869153,0,0,1,"(4174.0, 7339.0]",0.024825439937598608,0
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,379,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,No,17,3,1,0,3,4,4,3,2,1,0,8.080546965824498,0,0,1,"(990.01, 4174.0]",0.07419013966337391,0
37,No,Non-Travel,728,Research & Development,1,4,Medical,380,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Yes,18,3,1,2,15,2,3,5,2,0,2,9.518119146127086,0,1,0,"(10504.0, 13669.0]",0.010887578406689236,0
35,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,381,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,No,18,3,2,1,10,6,2,7,7,6,2,9.392411897514927,0,0,1,"(10504.0, 13669.0]",0.06284752692438603,0
38,No,Travel_Rarely,322,Sales,7,2,Medical,382,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Yes,24,4,3,1,8,3,3,8,0,7,7,8.631592731724734,0,1,1,"(4174.0, 7339.0]",0.2929756142699861,0
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,No,20,4,1,1,6,6,1,6,5,1,4,8.763740720509464,0,0,2,"(4174.0, 7339.0]",0.030791525017323868,0
50,No,Travel_Rarely,797,Research & Development,4,1,Life Sciences,385,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,No,14,3,1,2,28,4,2,10,4,1,6,9.859796863911395,0,0,1,"(16834.0, 19999.0]",0.008268063520303369,0
53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,386,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,Yes,16,3,4,3,21,5,2,5,3,1,3,9.774801544908083,0,1,1,"(16834.0, 19999.0]",0.007056279445072762,0
42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,387,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,0,20,3,3,20,16,11,6,8.498621805830801,0,0,1,"(4174.0, 7339.0]",0.02451119532757493,0
29,No,Travel_Frequently,442,Sales,2,2,Life Sciences,388,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,No,18,3,1,0,10,3,2,10,7,0,9,8.423980809694058,0,0,2,"(4174.0, 7339.0]",0.14761381799852408,0
55,No,Travel_Rarely,147,Research & Development,20,2,Technical Degree,389,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Yes,19,3,4,1,12,4,3,10,7,0,8,8.59711281459211,0,1,1,"(4174.0, 7339.0]",0.03335460415789412,0
26,No,Travel_Frequently,496,Research & Development,11,2,Medical,390,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,1,5,3,3,5,3,3,3,8.464214266625351,0,1,2,"(4174.0, 7339.0]",0.8525035963734798,1
37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,391,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,No,12,3,2,0,17,3,3,17,12,5,7,7.65728279297819,0,0,1,"(990.01, 4174.0]",0.007519839712984204,0
44,Yes,Travel_Frequently,920,Research & Development,24,3,Life Sciences,392,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Yes,22,4,4,1,19,0,1,1,0,0,0,8.058960017769417,1,1,2,"(990.01, 4174.0]",0.35812440207494733,0
38,No,Travel_Rarely,688,Research & Development,23,4,Life Sciences,393,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,1,10,2,3,2,2,1,2,8.656259239539235,0,0,1,"(4174.0, 7339.0]",0.09264066813878587,0
26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,394,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Yes,13,3,4,1,5,2,3,3,2,0,2,7.772331575169614,1,1,1,"(990.01, 4174.0]",0.5789423665794511,0
28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,395,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,No,21,4,4,0,5,3,3,5,3,0,2,8.105005537547246,0,0,1,"(990.01, 4174.0]",0.010490466530937416,0
49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,396,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,0,22,4,3,3,2,1,2,9.834458966125691,0,1,2,"(16834.0, 19999.0]",0.5127734687166131,0
36,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,397,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,No,12,3,4,0,10,2,3,8,0,7,7,8.408716715080153,0,0,1,"(4174.0, 7339.0]",0.08930828138132012,0
31,No,Travel_Frequently,444,Sales,5,3,Marketing,399,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,1,2,5,2,2,2,2,2,7.933796874815411,0,0,2,"(990.01, 4174.0]",0.1351961152631478,0
26,Yes,Travel_Rarely,950,Sales,4,4,Marketing,401,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,Yes,12,3,2,0,8,0,3,8,7,7,4,8.67060073804555,1,1,1,"(4174.0, 7339.0]",0.5336327183473654,0
37,No,Travel_Frequently,889,Research & Development,9,3,Medical,403,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,3,4,3,2,4,2,1,2,7.752335163302292,0,1,2,"(990.01, 4174.0]",0.32808782567074396,0
42,No,Travel_Frequently,555,Sales,26,3,Marketing,404,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,1,23,2,4,20,4,4,8,9.512369038134885,0,0,2,"(10504.0, 13669.0]",0.07486628981798552,0
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,0,0,2,3,0,0,0,0,7.259116128097101,1,0,1,"(990.01, 4174.0]",0.544832157607608,0
35,No,Travel_Rarely,1232,Sales,16,3,Marketing,406,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,2,12,3,2,11,9,6,9,8.989818381366925,0,0,1,"(7339.0, 10504.0]",0.020418069995881288,0
36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,407,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,2,4,2,3,1,0,0,0,8.213110697596676,0,0,2,"(990.01, 4174.0]",0.06806192051867561,0
51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,1,13,3,3,4,1,1,2,8.609407675404048,0,0,1,"(4174.0, 7339.0]",0.009601742623798088,0
41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,410,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,0,22,2,3,22,10,0,4,9.681343501555002,0,0,1,"(13669.0, 16834.0]",0.024306942732398275,0
18,No,Travel_Rarely,812,Sales,10,3,Medical,411,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,0,0,2,3,0,0,0,0,7.0909098220799835,0,0,1,"(990.01, 4174.0]",0.7812807329803547,1
28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,412,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,No,19,3,3,0,9,2,3,8,3,0,7,8.641532465671846,0,0,1,"(4174.0, 7339.0]",0.04715396895390189,0
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,416,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,8.84361509218395,0,0,1,"(4174.0, 7339.0]",0.08374099930746456,0
39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,3,19,5,2,18,10,3,7,9.170975648453906,0,0,1,"(7339.0, 10504.0]",0.0006011782866206635,0
36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8,8.643825842349603,0,0,0,"(4174.0, 7339.0]",0.021165990821242577,0
32,No,Travel_Rarely,906,Sales,7,3,Life Sciences,420,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,1,13,3,2,13,8,4,8,8.609772372709331,0,0,1,"(4174.0, 7339.0]",0.024022735393466433,0
38,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,421,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,1,19,2,3,10,8,0,1,9.397815294010933,0,0,1,"(10504.0, 13669.0]",0.04188848536937072,0
58,No,Non-Travel,390,Research & Development,1,4,Life Sciences,422,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,1,12,2,3,5,3,1,2,8.64135583403666,0,1,0,"(4174.0, 7339.0]",0.020700626098841456,0
31,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,423,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Yes,12,3,3,1,6,4,3,5,2,0,3,8.480944058741116,0,1,1,"(4174.0, 7339.0]",0.03286847795826684,0
31,No,Travel_Rarely,106,Human Resources,2,3,Human Resources,424,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,0,9,1,3,2,2,1,0,8.765770543987257,0,0,1,"(4174.0, 7339.0]",0.13430282765866394,0
45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,1,24,2,3,24,9,9,11,8.558527054909215,0,0,2,"(4174.0, 7339.0]",0.06394013931225445,0
31,No,Travel_Rarely,192,Research & Development,2,4,Life Sciences,426,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2,7.899524472032198,0,1,1,"(990.01, 4174.0]",0.22297684043814991,0
33,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,428,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,9.38252741428954,0,0,2,"(10504.0, 13669.0]",0.08332612766275005,0
39,No,Travel_Rarely,117,Research & Development,10,1,Medical,429,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,0,21,3,3,21,9,11,10,9.745019231764333,0,1,1,"(16834.0, 19999.0]",0.1740269034618236,0
43,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,430,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,No,19,3,1,0,9,5,3,8,7,1,7,7.806289289267033,0,0,2,"(990.01, 4174.0]",0.058468207684894226,0
49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Yes,12,3,4,0,25,2,3,7,1,0,7,9.544309478379278,0,1,1,"(13669.0, 16834.0]",0.07583306340629314,0
52,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,433,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,No,15,3,1,0,11,3,2,8,2,7,7,8.505525386548555,1,0,1,"(4174.0, 7339.0]",0.07908073573054797,0
27,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,434,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2,7.8156105320351905,0,1,1,"(990.01, 4174.0]",0.49391837226415114,0
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,436,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9,8.56197533418813,0,1,1,"(4174.0, 7339.0]",0.35426915623555416,0
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,437,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Yes,11,3,1,0,5,3,3,5,4,0,4,8.4071550862073,0,1,1,"(4174.0, 7339.0]",0.28709947092819504,0
31,No,Travel_Rarely,691,Sales,7,3,Marketing,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7,8.92903790648844,0,0,1,"(7339.0, 10504.0]",0.002447338162181404,0
32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,439,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7,8.528330935826693,0,0,1,"(4174.0, 7339.0]",0.036536818153213614,0
28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,440,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Yes,13,3,4,0,5,4,2,3,2,2,2,8.150467911624004,1,1,1,"(990.01, 4174.0]",0.6506890001758939,1
